Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GWAScatalog	Bilirubin levels	26	8	1.987364865596906e-11	1.7588179060532617e-08	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1	
GWAScatalog	N-desmethylclozapine concentration in schizophrenia	5	5	3.0959319294123296e-11	2.283249797941593e-08	UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5	
GWAScatalog	Hair greying	29	8	5.349306947396161e-11	3.381526177461145e-08	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1	
GWAScatalog	Low density lipoprotein cholesterol levels	232	15	6.453110946826925e-10	3.374670127497278e-07	MECR:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:ADH1B:SNRPC:ABRACL:MLXIPL:LIMA1:SECISBP2L	
GWAScatalog	Plasma clozapine-norclozapine ratio in treatment-resistant schizophrenia	14	6	6.863735852536837e-10	3.374670127497278e-07	UGT2B15:UGT2A3:UGT2B7:UGT2B28:UGT2B4:CYP2C18	
GWAScatalog	Alcohol dependence	54	8	1.0933596248486882e-08	4.838116339955445e-06	ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7:ALDH2	
GWAScatalog	Regular attendance at a pub or social club	41	7	3.336291352661997e-08	1.342099021411758e-05	ADH5:ADH4:ADH6:ADH1A:ADH1B:ADH1C:ADH7	
GWAScatalog	Oral cavity and pharyngeal cancer	7	4	1.3584454431069015e-07	5.009267571456699e-05	ADH1B:ADH1C:ADH7:ALDH2	
GWAScatalog	Neuroblastoma or malignant cutaneous melanoma	17	5	1.7719160852320404e-07	6.031329751655215e-05	UGT1A10:UGT1A9:UGT1A7:UGT1A6:DLGAP4	
GWAScatalog	Serum metabolite concentrations in chronic kidney disease	72	7	1.7739123541707788e-06	0.0005606830119432641	UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3	
GWAScatalog	Brain morphology (MOSTest)	1049	24	3.6857002465830572e-06	0.0010872815727420019	AKR1A1:FAF1:CA14:PKLR:PM20D1:CELSR3:PRKAR2A:CCDC71:FOXP1:ABCG2:PGBD1:ZKSCAN1:FOXP2:SND1:SPAG8:CELF1:LIMA1:CKB:SBK1:SULT1A2:SULT1A1:RABEP2:GIT1:LRRC37A:LRRC37A2	
GWAScatalog	Alcohol consumption (drinks per week)	87	7	6.361175685500536e-06	0.001759262650521242	ADH1A:ADH1B:ADH1C:ADH7:MLXIPL:ALDH2:SECISBP2L	
GWAScatalog	Body fat distribution (leg fat ratio)	168	9	8.744682931051689e-06	0.0022761895276413955	PKLR:TGFB2:SNRPC:LIMA1:SULT1A2:SULT1A1:RABEP2:NFAT5:DYM	
GWAScatalog	Tacrolimus trough concentration in kidney transplant patients	6	3	9.875732844353454e-06	0.0024277843242368905	CPSF4:ZKSCAN5:CYP3A43	
GWAScatalog	Alcohol consumption in current drinkers	7	3	1.7180649069042327e-05	0.0040012827437111735	ADH5:ADH1B:ADH1C	
GWAScatalog	Alcohol consumption	71	6	2.242588509526182e-05	0.004961727077326677	ADH5:ADH1B:ADH1C:MLXIPL:ALDH2:SBK1	
GWAScatalog	Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor	8	3	2.7327045173788234e-05	0.005758198804476807	CYP3A5:CYP3A43:ZKSCAN1	
GWAScatalog	Alcohol consumption (drinkers vs non-drinkers)	10	3	5.7870198072346366e-05	0.01113372289000577	ADH1B:ALDH1A1:ALDH2	
GWAScatalog	Serum bilirubin levels in metabolic syndrome	10	3	5.7870198072346366e-05	0.01113372289000577	UGT1A6:UGT1A1:KANK1	
GWAScatalog	Cholelithiasis-related traits in sickle cell anemia	2	2	6.354453690375079e-05	0.01124738303196389	UGT1A10:UGT1A1	
GWAScatalog	Childhood maltreatment	2	2	6.354453690375079e-05	0.01124738303196389	FOXP1:FOXP2	
GWAScatalog	Alcohol use disorder	11	3	7.910312121926536e-05	0.013462742745971125	ADH4:ADH1B:ADH1C	
GWAScatalog	Subcortical volume (MOSTest)	522	14	8.440660481264847e-05	0.0138333046776285	AKR1A1:FAF1:CA14:PKLR:PM20D1:CELSR3:PRKAR2A:CCDC71:FOXP1:ABCG2:PGBD1:ZKSCAN1:FOXP2:SND1	
GWAScatalog	Serum uric acid levels	133	7	9.946050655612251e-05	0.01571831219681579	ABCG2:MLXIPL:ALDH3B1:INHBC:ALDH2:PTGR2:RP5-1021I20.4:NFAT5	
GWAScatalog	Body fat distribution (trunk fat ratio)	180	8	0.00010420954283174512	0.01590093886311973	PKLR:TGFB2:SNRPC:LIMA1:SULT1A2:SULT1A1:RABEP2:DYM	
GWAScatalog	Coffee consumption	96	6	0.00012306882548285072	0.01815265175872048	ABCG2:MLXIPL:SND1:CYP2E1:ALDH2:ULK3	
GWAScatalog	Lamb consumption	33	4	0.00013496862074016786	0.018737590796382934	MLXIPL:SBK1:SULT1A2:SULT1A1	
GWAScatalog	Esophageal cancer	13	3	0.0001355034814653681	0.018737590796382934	ADH6:ADH1B:ALDH2	
GWAScatalog	Esophageal cancer  (alcohol interaction)	3	2	0.00018962835071911755	0.024870007927916944	ADH4:ADH1B	
GWAScatalog	Body fat distribution (arm fat ratio)	104	6	0.00019109158633879686	0.024870007927916944	SNRPC:LIMA1:SULT1A2:SULT1A1:RABEP2:NFAT5	
GWAScatalog	Crohn's disease	506	13	0.00023022420024991803	0.029106916745882495	PKLR:DNMT3A:CELSR3:PRKAR2A:CCDC71:FOXP1:TXK:FOXP2:ALDH2:SULT1A2:SULT1A1:RABEP2:MLX	
GWAScatalog	Metabolic syndrome	109	6	0.0002467610328309601	0.03033104361880551	STAM2:MLXIPL:CELF1:GIT2:ALDH2:NFAT5	
GWAScatalog	Urate levels in overweight individuals	39	4	0.000261330732454173	0.03125374300296528	ABCG2:FGF3:INHBC:DTNA	
GWAScatalog	Extremely high intelligence	72	5	0.00028068375570684573	0.0326848847105998	GRK6:CKB:SULT1A2:SULT1A1:RABEP2	
GWAScatalog	Facial emotion recognition (sad faces)	18	3	0.0003753859981025592	0.04259187286163653	CPSF4:ZNF394:ZKSCAN5	
GWAScatalog	Gout	79	5	0.00043220579364550973	0.04781276592203451	ABCG2:ADH1B:CYP2E1:INHBC:ALDH2	
GWAScatalog	Height	1083	20	0.00044462681093562285	0.047987161911954415	TGFB2:DNMT3A:SPTBN1:PRKAR2A:FOXP1:ARHGAP26:BCKDHB:ZKSCAN1:FOXP2:ZNF483:PTGR1:PTEN:DDX6:YEATS4:ALDH2:CKB:XYLT1:LRRC37A:LRRC37A2:DYM:KCNE2	
Chemical_and_Genetic_pertubation	HSIAO_LIVER_SPECIFIC_GENES	232	20	3.4595675435547677e-15	1.1779827485803984e-11	FMO3:UGT1A10:AADAC:UGT2B15:UGT2B7:UGT2B4:ADH4:ADH6:ADH1A:ADH1B:ALDH1A1:PTGR1:CYP2C18:CYP2E1:MGST1:ALDH2:ALDH6A1:CYP2B6:APOC4-APOC2:APOC4:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HSIAO_LIVER_SPECIFIC_GENES
Chemical_and_Genetic_pertubation	CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_DN	1103	36	5.052981473319105e-13	8.602700958325776e-10	MASP2:DHRS3:AKR1A1:FMO3:UGT1A9:UGT1A7:UGT1A6:UGT1A4:UGT2B15:UGT2B7:UGT2A1:UGT2A1:ABCG2:ADH4:ADH1C:ADH7:BCKDHB:AKAP7:CYP3A43:ADHFE1:ACO1:PTGR1:CYP2C18:GLYAT:MGST1:INHBC:ACACB:ALDH2:ALDH6A1:GOLGA6B:KDM8:SULT1A2:SULT1A1:LDHD:CYP2B6:CYP2A13:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_DN
Chemical_and_Genetic_pertubation	CAIRO_HEPATOBLASTOMA_CLASSES_DN	204	14	1.126938503462965e-09	1.2790752014304652e-06	FMO3:ZBTB18:SPTBN1:AADAC:UGT2B4:ADH6:ADH1A:ADH1B:ADH1C:CYP2E1:GLYAT:ALDH2:CYP2B6:APOC4-APOC2:APOC4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/CAIRO_HEPATOBLASTOMA_CLASSES_DN
Chemical_and_Genetic_pertubation	CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN	174	13	1.5993035547648105e-09	1.361407150993545e-06	MASP2:FMO3:UGT1A10:AADAC:ADH4:ADH6:ADH1A:CYP3A43:GLYAT:ALDH6A1:LDHD:CYP2B6:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN
Chemical_and_Genetic_pertubation	WOO_LIVER_CANCER_RECURRENCE_DN	77	9	1.1142606508965643e-08	7.588115032605604e-06	MASP2:CA14:ADH5:ADH6:ADH1B:CYP3A43:CYP2E1:APOC4-APOC2:APOC4:SLC35A2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WOO_LIVER_CANCER_RECURRENCE_DN
Chemical_and_Genetic_pertubation	RICKMAN_HEAD_AND_NECK_CANCER_E	83	9	2.178664381935356e-08	1.2363920367483144e-05	FMO3:UGT1A10:AADAC:ADH1C:ADH7:ALDH1A1:CYP2C18:CYP2E1:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/RICKMAN_HEAD_AND_NECK_CANCER_E
Chemical_and_Genetic_pertubation	NIKOLSKY_BREAST_CANCER_7Q21_Q22_AMPLICON	70	8	8.895268134449667e-08	4.326912571114445e-05	PPP1R9A:CPSF4:ZNF394:ZKSCAN5:ZSCAN25:CYP3A5:CYP3A43:ZKSCAN1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NIKOLSKY_BREAST_CANCER_7Q21_Q22_AMPLICON
Chemical_and_Genetic_pertubation	LEE_LIVER_CANCER_SURVIVAL_UP	175	11	1.7525441994200424e-07	7.459266248781556e-05	MASP2:DHRS3:PKLR:FMO3:UGT1A6:UGT2B15:UGT2B4:MLXIPL:LDHAL6A:GLYAT:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LEE_LIVER_CANCER_SURVIVAL_UP
Chemical_and_Genetic_pertubation	DESERT_PERIPORTAL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP	155	10	5.063623707585746e-07	0.00019157376360366072	MASP2:ADH1A:CYP3A43:CYP2C18:GLYAT:ACACB:ALDH2:MNS1:KDM8:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/DESERT_PERIPORTAL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP
Chemical_and_Genetic_pertubation	HOSHIDA_LIVER_CANCER_SUBCLASS_S3	253	11	6.515785446495488e-06	0.002218624944531714	PKLR:ADH4:ADH6:ACO1:ALDH1A1:PTGR1:GLYAT:ALDH2:ALDH6A1:APOC4-APOC2:APOC4:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HOSHIDA_LIVER_CANCER_SUBCLASS_S3
Chemical_and_Genetic_pertubation	MEBARKI_HCC_PROGENITOR_FZD8CRD_DN	420	14	7.824153003096195e-06	0.002421930997776595	DHRS3:UGT2A3:ADH6:MLXIPL:GTF2IRD2:CYP3A5:KIFC2:KANK1:GLYAT:ACACB:LDHD:CYP2B6:ACSS1:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MEBARKI_HCC_PROGENITOR_FZD8CRD_DN
Chemical_and_Genetic_pertubation	MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN	19	4	1.3953526894951228e-05	0.003959313256442411	MASP2:UGT2B15:ADH4:GLYAT	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN
Chemical_and_Genetic_pertubation	FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN	527	15	2.382315089016141e-05	0.006239832983153815	AKR1A1:SH3YL1:UGT1A10:UGT2B15:UGT2B7:ADH5:ADH6:CYP3A5:KANK1:ACO1:GLYAT:ALDH2:ESD:ALDH6A1:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN
Chemical_and_Genetic_pertubation	YAMASHITA_LIVER_CANCER_STEM_CELL_DN	73	6	2.630522770870494e-05	0.0063978071677243085	MASP2:FMO3:UGT2B15:UGT2B7:ALDH6A1:APOC4-APOC2:APOC4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/YAMASHITA_LIVER_CANCER_STEM_CELL_DN
Chemical_and_Genetic_pertubation	VECCHI_GASTRIC_CANCER_EARLY_DN	358	12	3.346574457857912e-05	0.007231217891475706	CASQ2:AADAC:ADIPOQ:UGT2B17:UGT2B15:ADH1B:CEP85L:ALDH1A1:CYP2C18:ALDH6A1:DTNA:KCNE2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/VECCHI_GASTRIC_CANCER_EARLY_DN
Chemical_and_Genetic_pertubation	RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN	748	18	3.3979291120003315e-05	0.007231217891475706	DHRS3:ZBTB18:SH3YL1:SPTBN1:FOXP1:EPM2A:SYNJ2:PCMTD1:SNTB1:KANK1:PTEN:HIPK3:TMTC1:ACACB:ALDH2:SECISBP2L:LRRC37A:LRRC37A2:DTNA	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN
Chemical_and_Genetic_pertubation	SERVITJA_LIVER_HNF1A_TARGETS_DN	161	8	4.76419433807228e-05	0.009542401012433007	UGT2B17:UGT2A3:UGT2B7:UGT2B28:ADH4:UGT3A2:ARHGAP26:ZKSCAN1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/SERVITJA_LIVER_HNF1A_TARGETS_DN
Chemical_and_Genetic_pertubation	JINESH_BLEBBISHIELD_TRANSFORMED_STEM_CELL_SPHERES_UP	164	8	5.429157971207897e-05	0.010270157162201607	UGT1A7:AADAC:CYP3A5:ALDH1A1:PTGR1:ALDH1A3:ALDH3A1:SRXN1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/JINESH_BLEBBISHIELD_TRANSFORMED_STEM_CELL_SPHERES_UP
Chemical_and_Genetic_pertubation	JINESH_BLEBBISHIELD_VS_LIVE_CONTROL_UP	328	11	7.106487351242875e-05	0.012735573384727363	AADAC:CEP85L:ZNF394:KIFC2:ALDH1A1:ZNF483:INPPL1:PTGR2:RP5-1021I20.4:XYLT1:SULT1A2:SULT1A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/JINESH_BLEBBISHIELD_VS_LIVE_CONTROL_UP
Chemical_and_Genetic_pertubation	SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM4	276	10	8.053236173568906e-05	0.013710634585501064	UGT2B17:UGT2A3:ADH4:UGT3A2:ADHFE1:KIFC2:ALDH1A1:GDF10:GLYAT:ALDH6A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM4
Chemical_and_Genetic_pertubation	JOSEPH_RESPONSE_TO_SODIUM_BUTYRATE_DN	58	5	0.00010060568198843082	0.016227951116549812	PRKAR2A:TXK:ADH6:ALDH1A1:MPP3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/JOSEPH_RESPONSE_TO_SODIUM_BUTYRATE_DN
Chemical_and_Genetic_pertubation	ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	12	3	0.00010485019810986665	0.016227951116549812	UGT2B7:ALDH1A1:ALDH3B1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
Chemical_and_Genetic_pertubation	CHANDRAN_METASTASIS_TOP50_UP	35	4	0.000170560408735931	0.02525035616286283	UGT2B15:CELF1:HSP90AA1:GIT1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/CHANDRAN_METASTASIS_TOP50_UP
Chemical_and_Genetic_pertubation	DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP	149	7	0.00020141879720913177	0.02857629185404557	FMO3:ZBTB18:STAM2:ADH6:CYP2E1:NAGPA:APOC4-APOC2:APOC4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP
Chemical_and_Genetic_pertubation	SERVITJA_ISLET_HNF1A_TARGETS_DN	107	6	0.00022314272365203718	0.030392038961407464	PKLR:UGT1A1:UGT2B7:ADH1C:MLXIPL:KIF12	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/SERVITJA_ISLET_HNF1A_TARGETS_DN
Chemical_and_Genetic_pertubation	BROWNE_HCMV_INFECTION_2HR_UP	38	4	0.00023599361656282856	0.030906087092170433	DHRS3:ADH1A:ADH1B:ADH1C	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BROWNE_HCMV_INFECTION_2HR_UP
Chemical_and_Genetic_pertubation	GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	1037	20	0.0002551488365307978	0.03169938002126291	CA14:DNMT3A:SPTBN1:SH3BP4:PRKAR2A:FOXP1:DNAJB14:ZKSCAN1:FOXP2:KIFC2:KANK1:ALDH3B1:INPPL1:CACNB3:DOCK9:NLGN2:DTNA:RTN2:DLGAP4:MECP2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN
Chemical_and_Genetic_pertubation	CAIRO_HEPATOBLASTOMA_POOR_SURVIVAL	16	3	0.0002606703790294747	0.03169938002126291	CYP2E1:ALDH2:APOC4-APOC2:APOC4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/CAIRO_HEPATOBLASTOMA_POOR_SURVIVAL
Chemical_and_Genetic_pertubation	ANDERSEN_LIVER_CANCER_KRT19_DN	72	5	0.00028068375570684573	0.03244156707953253	PKLR:UGT2B17:UGT2B15:ALDH1A1:PTGR1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ANDERSEN_LIVER_CANCER_KRT19_DN
Chemical_and_Genetic_pertubation	HOSHIDA_LIVER_CANCER_SURVIVAL_DN	112	6	0.0002858287848416963	0.03244156707953253	AKR1A1:PKLR:ADH5:ADH6:CYP2B6:DLGAP4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HOSHIDA_LIVER_CANCER_SURVIVAL_DN
Chemical_and_Genetic_pertubation	JINESH_BLEBBISHIELD_TRANSFORMED_STEM_CELL_SPHERES_DN	266	9	0.0003039009355305704	0.03311394653134844	CEP85L:AKAP7:ZNF394:ZNF483:INPPL1:PTGR2:RP5-1021I20.4:XYLT1:SULT1A2:SULT1A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/JINESH_BLEBBISHIELD_TRANSFORMED_STEM_CELL_SPHERES_DN
Chemical_and_Genetic_pertubation	OHGUCHI_LIVER_HNF4A_TARGETS_DN	160	7	0.0003112030217336711	0.03311394653134844	AADAC:UGT2B17:UGT2A3:UGT2B28:ADH4:UGT3A2:GLYAT	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/OHGUCHI_LIVER_HNF4A_TARGETS_DN
Chemical_and_Genetic_pertubation	KIM_LIVER_CANCER_POOR_SURVIVAL_DN	42	4	0.000349044484773204	0.036015044565235146	PKLR:ADH6:ADH1B:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KIM_LIVER_CANCER_POOR_SURVIVAL_DN
Chemical_and_Genetic_pertubation	RUAN_RESPONSE_TO_TNF_DN	77	5	0.0003838058901481878	0.037338830170130836	DHRS3:ADIPOQ:ALDH1A1:HIPK3:APOC4-APOC2:APOC4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/RUAN_RESPONSE_TO_TNF_DN
Chemical_and_Genetic_pertubation	NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN	77	5	0.0003838058901481878	0.037338830170130836	CASQ2:ADIPOQ:ADH1B:ADH1C:ACACB	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN
Chemical_and_Genetic_pertubation	BROWNE_HCMV_INFECTION_16HR_DN	78	5	0.00040746381920098336	0.03853928623275968	DHRS3:ADH5:ADH1A:ADH1B:GDF10	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BROWNE_HCMV_INFECTION_16HR_DN
Chemical_and_Genetic_pertubation	DELYS_THYROID_CANCER_DN	223	8	0.00044603232332962605	0.04104702867398315	CASQ2:SPTBN1:ADH1A:ADH1B:ALDH1A1:GDF10:ALDH2:ALDH6A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/DELYS_THYROID_CANCER_DN
Chemical_and_Genetic_pertubation	CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP	171	7	0.00046457313515400363	0.041628198031562695	SLC5A6:AADAC:ABCG2:ADH6:CYP2E1:GLYAT:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP
Chemical_and_Genetic_pertubation	BOCHKIS_FOXA2_TARGETS	413	11	0.0005172679055906076	0.044120250149291725	FMO3:SCRN3:PRKAR2A:NRROS:UGT2B7:MLXIPL:ZKSCAN5:FOXP2:ALDH1A1:CYP2E1:ALDH6A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BOCHKIS_FOXA2_TARGETS
Chemical_and_Genetic_pertubation	JOHANSSON_GLIOMAGENESIS_BY_PDGFB_DN	20	3	0.0005182995612251597	0.044120250149291725	KIFC2:CACNB3:HBA2:HBA1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/JOHANSSON_GLIOMAGENESIS_BY_PDGFB_DN
GO_cc	GOCC_NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK	1112	34	1.4756005444150265e-11	1.4888809493147618e-08	DHRS3:FAF1:CASQ2:FMO3:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:AADAC:NRROS:UGT2B17:UGT2B15:UGT2B7:UGT2B28:UGT2B4:UGT2A1:UGT2A1:DNAJB14:UGT3A2:CYP3A5:CYP3A43:DNAJB12:CYP2C18:CYP2E1:STT3A:MGST1:CYP2B6:CYP2A13:RTN2:NECAB3:AWAT2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK
GO_cc	GOCC_ORGANELLE_SUBCOMPARTMENT	1394	37	9.567458251059466e-11	4.8267826876595e-08	DHRS3:FAF1:CASQ2:FMO3:UGT1A8:UGT1A10:UGT1A9:UGT1A7:UGT1A6:UGT1A5:UGT1A4:UGT1A3:UGT1A1:AADAC:NRROS:UGT2B17:UGT2B15:UGT2B7:UGT2B28:UGT2B4:UGT2A1:UGT2A1:DNAJB14:UGT3A2:CYP3A5:CYP3A43:DNAJB12:CYP2C18:CYP2E1:STT3A:MGST1:GOLGA6B:NAGPA:XYLT1:CYP2B6:CYP2A13:RTN2:NECAB3:AWAT2	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_ORGANELLE_SUBCOMPARTMENT
Hallmark_gene_sets	HALLMARK_XENOBIOTIC_METABOLISM	194	10	3.880062852414389e-06	0.00019400314262071943	FMO3:TGFB2:ADH5:ADH1C:ADH7:PTGR1:CYP2C18:CYP2E1:ALDH2:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_XENOBIOTIC_METABOLISM
Hallmark_gene_sets	HALLMARK_FATTY_ACID_METABOLISM	155	7	0.0002565315839525363	0.006413289598813407	ADH1C:ADH7:BCKDHB:ALDH1A1:HSP90AA1:ALDH3A1:ACSS1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_FATTY_ACID_METABOLISM
Cancer_modules	MODULE_93	175	16	8.897419095813809e-13	3.8347876302957516e-10	DHRS3:AKR1A1:FMO3:TP53I3:ADH4:ADH1A:ADH1C:ADH7:BCKDHB:CYP3A5:ALDH1A1:ALDH3B1:ALDH6A1:ALDH1A3:ALDH3A1:CYP2B6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_93
Cancer_modules	MODULE_373	22	8	4.180445769239993e-12	9.008860632712186e-10	ADH4:ADH1A:ADH1B:ADH1C:ADH7:ALDH1A1:ALDH3B1:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_373
Cancer_modules	MODULE_514	10	5	7.551965167176412e-09	1.0849656623510112e-06	TP53I3:ADH4:ADH1A:ADH1C:ADH7	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_514
Cancer_modules	MODULE_23	533	20	1.1758726304893339e-08	1.2670027593522573e-06	DHRS3:FMO3:CELSR3:AADAC:UGT2B15:UGT2B7:UGT2B4:ADH1A:ADH1B:ADH1C:ACO1:ALDH1A1:CYP2E1:GLYAT:INHBC:ACACB:ALDH6A1:CYP2B6:APOC4-APOC2:APOC4:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_23
Cancer_modules	MODULE_464	13	5	3.7823697440998335e-08	3.2604027194140568e-06	ALDH1A1:ALDH3B1:ALDH6A1:ALDH1A3:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_464
Cancer_modules	MODULE_194	14	5	5.845554402426208e-08	4.19905657907616e-06	ALDH1A1:ALDH3B1:ALDH6A1:ALDH1A3:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_194
Cancer_modules	MODULE_519	14	4	3.718239471314425e-06	0.00022893731601950247	AKR1A1:ADH4:ALDH1A1:ALDH3A1	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_519
Cancer_modules	MODULE_227	15	4	5.038648321953092e-06	0.0002714571783452229	UGT1A6:UGT2B15:UGT2B7:UGT2B4	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_227
Cancer_modules	MODULE_247	35	5	8.270939869847311e-06	0.00039608612043379903	UGT2B15:ADH4:ADH1A:ALDH3B1:ALDH1A3	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_247
Cancer_modules	MODULE_135	21	4	2.1277844375120696e-05	0.000917075092567702	FMO3:CYP2C18:CYP2E1:CYP2B6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_135
Cancer_modules	MODULE_212	309	11	4.158086083917223e-05	0.00162921372924393	FMO3:AADAC:UGT2B15:UGT2B7:ADH4:BCKDHB:ACO1:ALDH1A1:GLYAT:MGST1:CYP2B6	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_212
Cancer_modules	MODULE_55	790	18	6.855753843994216e-05	0.002462358255634589	DHRS3:FMO3:AADAC:UGT2B15:UGT2B7:UGT2B4:ADH1A:ADH1B:ADH1C:ALDH1A1:CYP2E1:GLYAT:INHBC:ALDH1A3:CYP2B6:APOC4-APOC2:APOC4:NECAB3:RGN	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MODULE_55
