Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
"Medication for pain relief, constipation, heartburn",6154,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,,23677,367006,0.808180796456809,-1.00987723509271,,,categorical-6154-both_sexes-5-
O02 Other abnormal products of conception,132166,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,1637,211976,0.811011945490009,-1.03493470153291,,,icd_first_occurrence-132166-both_sexes--
L72 Follicular cysts of skin and subcutaneous tissue,131794,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,11637,383204,0.811829990160846,-1.0188881260821,,,icd_first_occurrence-131794-both_sexes--
M13 Other arthritis,131864,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,24621,370220,0.812227819148499,-1.02200350453483,,,icd_first_occurrence-131864-both_sexes--
Psoriasis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,4523,390260,0.812588626417353,-1.01860172909174,,,categorical-20002-both_sexes-1453-
Pack years adult smoking as proportion of life span exposed to smoking,20162,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,,121148,,0.812788465273458,0.163511641542201,,,continuous-20162-both_sexes--irnt
Z85 Personal history of malignant neoplasm,Z85,icd10,,Chapter XXI Factors influencing health status and contact with health services | Z80-Z99 Persons with potential health hazards related to family and personal history and certain conditions influencing health status | Z85 Personal history of malignant neoplasm,,23056,371785,0.812915454194259,-1.02914817568255,,,icd10-Z85-both_sexes--
M65 Synovitis and tenosynovitis,131938,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,14252,380589,0.813278463572476,-1.0291682826887,,,icd_first_occurrence-131938-both_sexes--
Evening primrose oil,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,5936,207652,0.813509585058347,-1.02879633224637,,,categorical-20003-both_sexes-1140916682-
Omeprazole,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,23244,371539,0.813547159231721,-1.01065958577568,,,categorical-20003-both_sexes-1140865634-
M23 Internal derangement of knee,131884,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,17339,377502,0.813894238832943,-1.00500064218399,,,icd_first_occurrence-131884-both_sexes--
O20 Haemorrhage in early pregnancy,132194,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,1203,212410,0.814650655867063,-1.03931462711668,,,icd_first_occurrence-132194-both_sexes--
Citalopram,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,6727,388056,0.814779623705302,-1.02772732719348,,,categorical-20003-both_sexes-1140921600-
R14.9 Unspecified surgical induction of labour,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1174,212439,0.815373659855697,-1.0383909025,,,categorical-41210-both_sexes-R149-
Lumpectomy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,12797,200791,0.815512957614584,-1.03117628796536,,,categorical-20004-both_sexes-1369-
L70 Acne,131790,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,4508,390333,0.815553105585148,-1.03307115984166,,,icd_first_occurrence-131790-both_sexes--
"J11 Influenza, virus not identified",131442,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,8440,386401,0.817270298331513,-1.02854188065021,,,icd_first_occurrence-131442-both_sexes--
FH Parkinsons disease custom,FH_Parkinsons_disease_custom,categorical,,,,16475,344440,0.817333410834464,-1.02879246928366,,,categorical-FH_Parkinsons_disease_custom-both_sexes--custom
Q35.2 Endoscopic bilateral clipping of fallopian tubes,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2050,211563,0.817436452520026,-1.0270921036118,,,categorical-41200-both_sexes-Q352-
Alcohol drinker status,20117,categorical,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,13617,380672,0.817455227026362,-1.02457778115201,,,categorical-20117-both_sexes-1-
M17 Gonarthrosis [arthrosis of knee],131872,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,28321,366520,0.819458288897838,-0.980799054379464,,,icd_first_occurrence-131872-both_sexes--
urinary tract infection custom,urinary_tract_infection_custom,categorical,,Health-related outcomes > Cardiac/Metabolism,,8338,205275,0.819792861185437,-1.02623217202573,,,categorical-urinary_tract_infection_custom-females--custom
M45.9 Unspecified diagnostic endoscopic examination of bladder,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,25984,368857,0.82074025528564,-1.00255402290499,,,categorical-41200-both_sexes-M459-
L29 Pruritus,131738,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,9616,385225,0.8210194498499,-1.02760082794709,,,icd_first_occurrence-131738-both_sexes--
Nasal/sinus/nose surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,13685,381098,0.821357489023886,-1.01813303788016,,,categorical-20004-both_sexes-1128-
C50 Malignant neoplasm of breast,C50,icd10,,Chapter II Neoplasms | C50-C50 Malignant neoplasm of breast | C50 Malignant neoplasm of breast,,9578,204035,0.822380365247898,-1.02505539687923,,,icd10-C50-both_sexes--
Alcohol drinker status,20117,categorical,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,12289,382000,0.822745057128076,-1.00778859236922,,,categorical-20117-both_sexes-0-
M67 Other disorders of synovium and tendon,131942,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,9091,385750,0.822747316398242,-1.02659617965343,,,icd_first_occurrence-131942-both_sexes--
"M70 Soft tissue disorders related to use, overuse and pressure",131946,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,13293,381548,0.822928894937298,-1.02648170732449,,,icd_first_occurrence-131946-both_sexes--
A09 Diarrhoea and gastro-enteritis of presumed infectious origin,130018,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,11968,382873,0.823246651049492,-1.0252572565392,,,icd_first_occurrence-130018-both_sexes--
B02 Zoster [herpes zoster],130178,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,12934,381907,0.823280382955187,-1.02822813140689,,,icd_first_occurrence-130178-both_sexes--
J34 Other disorders of nose and nasal sinuses,131472,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,13455,381386,0.823569732962067,-1.02527546409967,,,icd_first_occurrence-131472-both_sexes--
T43.9 Unspecified diagnostic endoscopic examination of peritoneum,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2701,210912,0.823679759860109,-1.02829073195397,,,categorical-41200-both_sexes-T439-
K30 Dyspepsia,131600,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,14363,380478,0.826296092681465,-1.02476804095703,,,icd_first_occurrence-131600-both_sexes--
Q12.1 Introduction of intrauterine contraceptive device,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2193,211420,0.8268471092482,-1.02783395099863,,,categorical-41210-both_sexes-Q121-
Q18.1 Diagnostic endoscopic examination of uterus and biopsy of lesion of uterus,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5553,208060,0.826918835571566,-1.0257672180374,,,categorical-41200-both_sexes-Q181-
daytime nap 1190 binary,daytime_nap_1190_binary,categorical,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep,,20887,373595,0.828456792300396,-1.00738217785993,,,categorical-daytime_nap_1190_binary-both_sexes--custom
H81 Disorders of vestibular function,131252,icd_first_occurrence,,Health-related outcomes > First occurrences > Ear and mastoid process disorders,,9553,385288,0.828747507517601,-1.01582168648391,,,icd_first_occurrence-131252-both_sexes--
Haemoglobin concentration,30020,continuous,,Biological samples > Assay results > Blood assays > Blood count,,383469,,0.830243662960646,-0.115559887690468,,,continuous-30020-both_sexes--irnt
Q17.1 Endoscopic resection of lesion of uterus,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5153,208460,0.830488136048015,-1.02451397277943,,,categorical-41200-both_sexes-Q171-
Y82.9 Unspecified local anaesthetic,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,10793,384048,0.83176633399014,-1.02306055624718,,,categorical-41210-both_sexes-Y829-
Omega-3/fish oil supplement,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,15001,379782,0.833028840054907,-1.02440751503228,,,categorical-20003-both_sexes-1193-
Gastro-oesophageal reflux (gord) / gastric reflux,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,16981,377802,0.833104342013113,-1.02412687546462,,,categorical-20002-both_sexes-1138-
Part of a multiple birth,1777,categorical,,UK Biobank Assessment Centre > Touchscreen > Early life factors,,8657,380287,0.834972906406395,-1.02324399181346,,,categorical-1777-both_sexes--
E05 Thyrotoxicosis [hyperthyroidism],130700,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,5533,389308,0.835578421237682,-0.988807818973468,,,icd_first_occurrence-130700-both_sexes--
Muscle/soft tissue surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,11363,383420,0.837237496278607,-1.02137319810656,,,categorical-20004-both_sexes-1297-
O04 Medical abortion,132170,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,3068,210545,0.838000716403682,-1.02216982519642,,,icd_first_occurrence-132170-both_sexes--
K92 Other diseases of digestive system,131692,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,12999,381842,0.838317737554302,-1.01697682537121,,,icd_first_occurrence-131692-both_sexes--
Y53.2 Approach to organ under ultrasonic control,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,14984,379857,0.838514767005142,-1.02106094742055,,,categorical-41210-both_sexes-Y532-
A65.1 Carpal tunnel release,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,8858,385983,0.839633693253474,-0.995013649928803,,,categorical-41200-both_sexes-A651-
Q18.9 Unspecified diagnostic endoscopic examination of uterus,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5226,208387,0.839963110140809,-1.02086346314405,,,categorical-41210-both_sexes-Q189-
"M76 Enthesopathies of lower limb, excluding foot",131956,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,6387,388454,0.840975464521464,-1.02284992084895,,,icd_first_occurrence-131956-both_sexes--
L60 Nail disorders,131774,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,8990,385851,0.841268531968552,-1.02141042743282,,,icd_first_occurrence-131774-both_sexes--
Z28.6 Sigmoid colon,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,15915,378926,0.841377347350409,-1.01639441657329,,,categorical-41210-both_sexes-Z286-
R22.9 Unspecified vacuum delivery,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,673,212940,0.841618442443328,-1.03112906773174,,,categorical-41200-both_sexes-R229-
Monocyte count,30130,continuous,,Biological samples > Assay results > Blood assays > Blood count,,382765,,0.843402147352426,0.131099379550988,,,continuous-30130-both_sexes--irnt
Q11.1 Vacuum aspiration of products of conception from uterus NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1234,212379,0.843556903013186,-1.02168022911489,,,categorical-41200-both_sexes-Q111-
O60 Preterm delivery,132244,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,696,212917,0.843896967946819,-1.02753551412282,,,icd_first_occurrence-132244-both_sexes--
O82 Single delivery by caesarean section,132280,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,2095,211518,0.843988632944338,-1.02219194099465,,,icd_first_occurrence-132280-both_sexes--
Varicose vein surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,16135,378648,0.84433879776208,-0.962077058356559,,,categorical-20004-both_sexes-1479-
"O75 Other complications of labour and delivery, not elsewhere classified",132274,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,756,212857,0.844542730154917,-1.02738950527605,,,icd_first_occurrence-132274-both_sexes--
"N91 Absent, scanty and rare menstruation",132144,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,1858,211755,0.845458889453499,-1.01944830635634,,,icd_first_occurrence-132144-both_sexes--
N90 Other noninflammatory disorders of vulva and perineum,132142,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,4898,208715,0.845577631996679,-1.0207741225698,,,icd_first_occurrence-132142-both_sexes--
"O46 Antepartum haemorrhage, not elsewhere classified",132238,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,612,213001,0.845850343603485,-1.0296273767152,,,icd_first_occurrence-132238-both_sexes--
"H93 Other disorders of ear, not elsewhere classified",131264,icd_first_occurrence,,Health-related outcomes > First occurrences > Ear and mastoid process disorders,,11230,383611,0.846466855587332,-1.02046233674775,,,icd_first_occurrence-131264-both_sexes--
Z28.5 Descending colon,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,9738,385103,0.846833673339726,-1.01979914268134,,,categorical-41210-both_sexes-Z285-
Q18.8 Other specified diagnostic endoscopic examination of uterus,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,3984,209629,0.847011200260441,-1.01901969672761,,,categorical-41200-both_sexes-Q188-
Q18.9 Unspecified diagnostic endoscopic examination of uterus,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5802,207811,0.847334791415327,-1.01932269174088,,,categorical-41200-both_sexes-Q189-
H65 Nonsuppurative otitis media,131228,icd_first_occurrence,,Health-related outcomes > First occurrences > Ear and mastoid process disorders,,4777,390064,0.847346393976294,-1.02181580989969,,,icd_first_occurrence-131228-both_sexes--
K63 Other diseases of intestine,131648,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,19413,375428,0.847422451531787,-1.016730171461,,,icd_first_occurrence-131648-both_sexes--
Ovarian cyst removal/surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,4653,208935,0.847441879217896,-1.01700589998013,,,categorical-20004-both_sexes-1506-
Back problem,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,6938,387845,0.847817296737025,-1.01853209158847,,,categorical-20002-both_sexes-1294-
Knee surgery (not replacement),20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,13099,381684,0.847872656762785,-1.01849645395198,,,categorical-20004-both_sexes-1496-
"M53 Other dorsopathies, not elsewhere classified",131926,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,4967,389874,0.847990533682318,-1.01948869127568,,,icd_first_occurrence-131926-both_sexes--
Y50.8 Other specified approach through abdominal cavity,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,6531,388310,0.849105470894298,-1.0203609422662,,,categorical-41210-both_sexes-Y508-
Y97.3 Radiology with post contrast,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,11724,383117,0.849352279539201,-1.01829299220567,,,categorical-41210-both_sexes-Y973-
L21 Seborrhoeic dermatitis,131722,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,7967,386874,0.849417429499031,-1.01943068102195,,,icd_first_occurrence-131722-both_sexes--
VTE custom,VTE_custom,categorical,,Health-related outcomes > Cardiac/Metabolism,,13679,379800,0.849670336092357,-1.01043359565038,,,categorical-VTE_custom-both_sexes--custom
H53 Visual disturbances,131210,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,8255,386586,0.851696382061429,-1.01778208643154,,,icd_first_occurrence-131210-both_sexes--
Y53.4 Approach to organ under fluoroscopic control,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,19562,375279,0.852110912893577,-1.00033361878513,,,categorical-41210-both_sexes-Y534-
B00 Herpesviral [herpes simplex] infections,130174,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,3725,391116,0.852967208133079,-1.01944557261878,,,icd_first_occurrence-130174-both_sexes--
Y76.7 Arthroscopic approach to joint,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,6796,388045,0.853193952154776,-1.01852932341441,,,categorical-41210-both_sexes-Y767-
K04 Diseases of pulp and periapical tissues,131560,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,5968,388873,0.853307351486326,-1.01729590290621,,,icd_first_occurrence-131560-both_sexes--
T43.9 Unspecified diagnostic endoscopic examination of peritoneum,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1775,211838,0.853382562734572,-1.02130106355456,,,categorical-41210-both_sexes-T439-
Headaches (not migraine),20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,3318,391465,0.853691577199603,-1.01893594292848,,,categorical-20002-both_sexes-1436-
Mammoplasty/cosmetic operation on breast,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2892,210696,0.853780041516432,-1.01842762386222,,,categorical-20004-both_sexes-1370-
O69 Labour and delivery complicated by umbilical cord complications,132262,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,616,212997,0.854150041118156,-1.02108538111353,,,icd_first_occurrence-132262-both_sexes--
H25.1 Diagnostic endoscopic examination of lower bowel and biopsy of lesion of lower bowel using fibreoptic sigmoidoscope,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,8981,385860,0.854157598764887,-1.0185827615461,,,categorical-41200-both_sexes-H251-
N86 Erosion and ectropion of cervix uteri,132134,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,1596,212017,0.854603747809088,-1.02055378533142,,,icd_first_occurrence-132134-both_sexes--
Amitriptyline,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,7474,387309,0.854710921503738,-1.01928419397173,,,categorical-20003-both_sexes-1140879616-
BreastCancer custom,BreastCancer_custom,categorical,,Health-related outcomes > Cancer,,13384,165474,0.854772053605689,-1.00875220213429,,,categorical-BreastCancer_custom-females--custom
Oestradiol,30800,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,59620,,0.855353086866489,0.151090510533871,,,continuous-30800-both_sexes--irnt
S06.5 Excision of lesion of skin of head or neck NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,11698,383143,0.856243981433757,-1.01070478532411,,,categorical-41200-both_sexes-S065-
Z27.6 Ileum,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,8736,386105,0.856258560535155,-1.01799237396117,,,categorical-41210-both_sexes-Z276-
Multivitamin+mineral preparations,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,5338,389445,0.856396941813208,-1.01656242780961,,,categorical-20003-both_sexes-1140876592-
Ear surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,6438,388345,0.857366282708415,-1.01948772931459,,,categorical-20004-both_sexes-1127-
Cone biopsy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,3387,210201,0.858481710276359,-1.01777918570936,,,categorical-20004-both_sexes-1512-
Q12.1 Introduction of intrauterine contraceptive device,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1457,212156,0.859415222023988,-1.01623859786157,,,categorical-41200-both_sexes-Q121-
J04 Acute laryngitis and tracheitis,131432,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,3624,391217,0.859465158679721,-1.01766923704187,,,icd_first_occurrence-131432-both_sexes--
Z92.6 Abdomen NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,9786,385055,0.85974254109187,-1.01582097502101,,,categorical-41210-both_sexes-Z926-
H91 Other hearing loss,131260,icd_first_occurrence,,Health-related outcomes > First occurrences > Ear and mastoid process disorders,,10662,384179,0.860453520424126,-1.01651101655364,,,icd_first_occurrence-131260-both_sexes--
I73 Other peripheral vascular diseases,131386,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,8311,386530,0.860525836639437,-1.01720838508593,,,icd_first_occurrence-131386-both_sexes--
G40 Epilepsy,131048,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,5740,389101,0.861327582805935,-1.01697466631868,,,icd_first_occurrence-131048-both_sexes--
"Hospitalized vs non-hospitalized (controls include untested; old definition using ""origin" field)",COVID19,categorical,,,,4206,390635,0.861714909638067,-1.01796852882306,,,categorical-COVID19-both_sexes-B2_v2_origin-04162021
U21.2 Computed tomography NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,9525,385316,0.861743996099251,-1.01597875930057,,,categorical-41200-both_sexes-U212-
Prolapsed disc/slipped disc,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,6569,388214,0.862268404093824,-1.01198838756404,,,categorical-20002-both_sexes-1312-
Iron deficiency anaemia,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2160,392623,0.862610884631409,-1.01872840440634,,,categorical-20002-both_sexes-1330-
Z84.6 Knee joint,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,8532,386309,0.86271469854736,-1.01521271799526,,,categorical-41210-both_sexes-Z846-
K60 Fissure and fistula of anal and rectal regions,131642,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,4836,390005,0.863006948911562,-1.01729047046218,,,icd_first_occurrence-131642-both_sexes--
G44 Other headache syndromes,131054,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,4386,390455,0.863793583365421,-1.01492606463071,,,icd_first_occurrence-131054-both_sexes--
Arthroscopy nos,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,8731,386052,0.863910444009261,-1.0160696120857,,,categorical-20004-both_sexes-1493-
Foot surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,7780,387003,0.864070849817078,-1.01493965678171,,,categorical-20004-both_sexes-1494-
Y98.2 Radiology of two body areas,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,9040,385801,0.864523831521937,-1.01475763500507,,,categorical-41210-both_sexes-Y982-
Lymphocyte percentage,30180,continuous,,Biological samples > Assay results > Blood assays > Blood count,,382770,,0.86497726215559,-0.114028654375382,,,continuous-30180-both_sexes--irnt
W82.2 Endoscopic resection of semilunar cartilage NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,11680,383161,0.865128250122584,-0.99784410600276,,,categorical-41200-both_sexes-W822-
J00 Acute nasopharyngitis [common cold],131424,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,4325,390516,0.865292516217798,-1.01462525598784,,,icd_first_occurrence-131424-both_sexes--
R21.5 Low forceps cephalic delivery,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,367,213246,0.865464605496955,-1.02147323179361,,,categorical-41200-both_sexes-R215-
Thyroxine product,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,4594,390189,0.865839256797854,-0.999574048372069,,,categorical-20003-both_sexes-1140884516-
L57 Skin changes due to chronic exposure to nonionising radiation,131768,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,15761,379080,0.865926615390083,-1.00003976017317,,,icd_first_occurrence-131768-both_sexes--
L71 Rosacea,131792,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,4672,390169,0.865982942469791,-1.01790461791968,,,icd_first_occurrence-131792-both_sexes--
N32 Other disorders of bladder,132058,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,13252,381589,0.866201054103512,-1.01513720610231,,,icd_first_occurrence-132058-both_sexes--
U05.1 Computed tomography of head,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,9462,385379,0.86661417002243,-1.01525241104796,,,categorical-41200-both_sexes-U051-
Q18.8 Other specified diagnostic endoscopic examination of uterus,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1499,212114,0.866820007182021,-1.01490447642147,,,categorical-41210-both_sexes-Q188-
Diclofenac,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,8282,386501,0.86721344150852,-1.01502060788004,,,categorical-20003-both_sexes-1140884488-
O13 Gestational [pregnancy-induced] hypertension without significant proteinuria,132186,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,623,212990,0.867418740564904,-1.02401104427623,,,icd_first_occurrence-132186-both_sexes--
Q11.3 Evacuation of products of conception from uterus NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1158,212455,0.867431082292829,-1.01470617380492,,,categorical-41200-both_sexes-Q113-
Colposcopy +/- biopsy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,1627,211961,0.867530696919331,-1.0137110487526,,,categorical-20004-both_sexes-1522-
O16 Unspecified maternal hypertension,132192,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,631,212982,0.867903154618907,-1.02089645604328,,,icd_first_occurrence-132192-both_sexes--
O62 Abnormalities of forces of labour,132248,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,409,213204,0.868712134696444,-1.02156783853575,,,icd_first_occurrence-132248-both_sexes--
J20 Acute bronchitis,131458,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,4294,390547,0.868935915347151,-1.01591066073895,,,icd_first_occurrence-131458-both_sexes--
Ectopic pregnancy surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2269,211319,0.869032908185103,-1.01381120732766,,,categorical-20004-both_sexes-1507-
Cholelithiasis/gall stones,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,6557,388226,0.869438354065652,-1.01650441798494,,,categorical-20002-both_sexes-1162-
"Medication for pain relief, constipation, heartburn",6154,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,,7508,383175,0.869531117019201,-1.01359149983739,,,categorical-6154-both_sexes-4-
K01 Embedded and impacted teeth,131554,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,2004,392837,0.869612842218113,-1.01683694347076,,,icd_first_occurrence-131554-both_sexes--
H04 Disorders of lachrymal system,131136,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,11100,383741,0.869671729398223,-1.01488986733382,,,icd_first_occurrence-131136-both_sexes--
Epilepsy custom,Epilepsy_custom,categorical,,,,5177,389664,0.870234320596799,-1.01481577121344,,,categorical-Epilepsy_custom-both_sexes--custom
Y82.3 Application of local anaesthetic NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5545,389296,0.87041086913712,-1.01531495832258,,,categorical-41210-both_sexes-Y823-
Z29.1 Rectum,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,11417,383424,0.870960844027891,-1.01411982648856,,,categorical-41210-both_sexes-Z291-
N88 Other noninflammatory disorders of cervix uteri,132138,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,2233,211380,0.871189270325081,-1.01339970118632,,,icd_first_occurrence-132138-both_sexes--
B27 Infectious mononucleosis,130218,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,2730,392111,0.871295273199326,-1.01695044570578,,,icd_first_occurrence-130218-both_sexes--
