Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
Hypothyroidism/myxoedema,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,19312,375471,0.0403193258914918,0.0682578623775345,,,categorical-20002-both_sexes-1226-
Z40.4 Jugular body,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,503,394338,0.0403287848600935,-0.440164091425343,,,categorical-41210-both_sexes-Z404-
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",6152,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,,6709,387424,0.0404220383452481,0.119995552325223,,,categorical-6152-both_sexes-6-
H22.1 Diagnostic fibreoptic endoscopic examination of colon and biopsy of lesion of colon,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1835,393006,0.0405714074712386,0.228672523800712,,,categorical-41210-both_sexes-H221-
Volume of grey matter in Caudate (left),25880,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.0405719298821079,0.0694998089960046,,,continuous-25880-both_sexes--irnt
Potassium in urine,30520,continuous,,Biological samples > Assay results > Urine assays,,382934,,0.040660859568303,0.0154531391679952,,,continuous-30520-both_sexes--irnt
Z76.9 Femur NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,449,394392,0.0408757070872735,0.464468506521521,,,categorical-41210-both_sexes-Z769-
Reticulocyte count,30250,continuous,,Biological samples > Assay results > Blood assays > Blood count,,377154,,0.0410110307562073,-0.0152084054323384,,,continuous-30250-both_sexes--irnt
Domperidone,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,781,394002,0.0410765103523964,-0.359272216304997,,,categorical-20003-both_sexes-1140879430-
Mean L3 in cingulum cingulate gyrus on FA skeleton (right),25330,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.0414054405786137,0.0724602052987134,,,continuous-25330-both_sexes--irnt
L40 Psoriasis,131742,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,11402,383439,0.0414824282568293,0.0863348693804355,,,icd_first_occurrence-131742-both_sexes--
Anaemia,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,653,394130,0.0418311743467797,-0.377235004236253,,,categorical-20002-both_sexes-1446-
T85.2 Block dissection of axillary lymph nodes,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,571,394270,0.0418665642205623,0.402829634147394,,,categorical-41200-both_sexes-T852-
"J11 Influenza, virus not identified",131442,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,8440,386401,0.0421118601439264,0.106899417061227,,,icd_first_occurrence-131442-both_sexes--
"I65 Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",131370,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,1272,393569,0.0426755640280066,0.274328688204994,,,icd_first_occurrence-131370-both_sexes--
"A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically",130022,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,427,394414,0.0427154194814636,0.515091989051589,,,icd_first_occurrence-130022-both_sexes--
X72.3 Delivery of simple parenteral chemotherapy for neoplasm at first attendance,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,3331,391510,0.0428468881173002,0.164518970446724,,,categorical-41210-both_sexes-X723-
AFFMIadjBMI custom,AFFMIadjBMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387704,,0.042892053664947,-0.0086907271870672,,,continuous-AFFMIadjBMI_custom-both_sexes--custom
J13.2 Percutaneous biopsy of lesion of liver NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1576,393265,0.0432211590500918,0.244248447989424,,,categorical-41200-both_sexes-J132-
A73.5 Injection of therapeutic substance around peripheral nerve,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,359,394482,0.0434966170706011,-0.500295473311627,,,categorical-41210-both_sexes-A735-
W19.9 Unspecified primary open reduction of fracture of bone and intramedullary fixation,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,227,394614,0.0435064335895425,0.641485374161341,,,categorical-41200-both_sexes-W199-
H52.3 Injection of sclerosing substance into haemorrhoid,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,692,394149,0.0435657504244903,0.375784071664487,,,categorical-41200-both_sexes-H523-
B31.1 Reduction mammoplasty,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,288,213325,0.0435745724461951,-0.554753873423212,,,categorical-41210-both_sexes-B311-
Mean ICVF in middle cerebellar peduncle on FA skeleton,25344,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.0440859635223089,0.0727912944679393,,,continuous-25344-both_sexes--irnt
B26 Mumps,130216,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,4531,390310,0.0443154296943388,-0.142530633947543,,,icd_first_occurrence-130216-both_sexes--
Mean OD in cingulum cingulate gyrus on FA skeleton (right),25426,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.0446328339366818,0.072222663164708,,,continuous-25426-both_sexes--irnt
Urethral surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,728,394055,0.0447312609132304,0.353645568026035,,,categorical-20004-both_sexes-1431-
Mean L1 in fornix cres+stria terminalis on FA skeleton (right),25238,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.0447434921488212,0.0708172184672025,,,continuous-25238-both_sexes--irnt
Weighted-mean L3 in tract middle cerebellar peduncle,25639,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.0450078921781275,0.0701536459092809,,,continuous-25639-both_sexes--irnt
X72.9 Unspecified delivery of chemotherapy for neoplasm,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,800,394041,0.0450358589353387,0.338535914127731,,,categorical-41210-both_sexes-X729-
Mean FA in anterior corona radiata on FA skeleton (left),25079,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.0450513844178767,-0.0666052925590126,,,continuous-25079-both_sexes--irnt
Anterior thigh lean muscle volume (right),22403,continuous,,UK Biobank Assessment Centre > Imaging > Abdominal MRI > Abdominal composition,,5147,,0.0450673562188514,0.0784624437631848,,,continuous-22403-both_sexes--irnt
Volume of grey matter in VIIb Cerebellum (vermis),25907,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.0452514164059985,-0.066938787393573,,,continuous-25907-both_sexes--irnt
"Medication for pain relief, constipation, heartburn",6154,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,,23677,367006,0.0455398150481245,0.0633808797933948,,,categorical-6154-both_sexes-5-
Z54.8 Specified muscle of shoulder or upper arm NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,212,394629,0.0455804275564699,-0.64659591644893,,,categorical-41210-both_sexes-Z548-
E11 Non-insulin-dependent diabetes mellitus,130708,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,24153,370688,0.0456076615919655,0.0597162540179561,,,icd_first_occurrence-130708-both_sexes--
Median T2star in accumbens (right),25039,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,16739,,0.0460610905197096,0.0692898644457621,,,continuous-25039-both_sexes--irnt
N11.2 Plication of hydrocele sac,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,218,181010,0.0462343294834385,-0.645461660563147,,,categorical-41200-both_sexes-N112-
J18.3 Total cholecystectomy NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,509,394332,0.0462447002304535,0.428047213737964,,,categorical-41210-both_sexes-J183-
Warfarin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,3993,390790,0.0465465332472628,0.14855650339494,,,categorical-20003-both_sexes-1140888266-
Z66.3 Cervical vertebra,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1827,393014,0.0468067072722393,0.220100026066254,,,categorical-41210-both_sexes-Z663-
L92 Granulomatous disorders of skin and subcutaneous tissue,131826,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,1378,393463,0.0470025648543744,-0.252069099089019,,,icd_first_occurrence-131826-both_sexes--
L87.1 Stripping of long saphenous vein,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,330,394511,0.0472779883676756,0.529262437916971,,,categorical-41200-both_sexes-L871-
Burns,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,351,394432,0.0479060825256,-0.497965741116518,,,categorical-20002-both_sexes-1407-
Weighted-mean MO in tract cingulate gyrus part of cingulum (right),25547,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.0481500745079834,-0.0699688186466812,,,continuous-25547-both_sexes--irnt
Weighted-mean L2 in tract cingulate gyrus part of cingulum (right),25601,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.0481972270314701,0.0700668948561959,,,continuous-25601-both_sexes--irnt
Weighted-mean L2 in tract middle cerebellar peduncle,25612,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.0482180412014365,0.0671403646602609,,,continuous-25612-both_sexes--irnt
Mean ISOVF in body of corpus callosum on FA skeleton,25443,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.0482233871395929,0.0650521410782996,,,continuous-25443-both_sexes--irnt
K64 Haemorrhoids and perianal venous thrombosis,131650,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,26662,368179,0.0486784772924241,0.05829537655476,,,icd_first_occurrence-131650-both_sexes--
Pituitary surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,229,394554,0.0487710534924305,0.626670118081841,,,categorical-20004-both_sexes-1472-
K12 Stomatitis and related lesions,131576,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,2852,391989,0.048900179605245,0.178988396673804,,,icd_first_occurrence-131576-both_sexes--
Mean L3 in middle cerebellar peduncle on FA skeleton,25296,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.0489285409532745,0.0700634565620376,,,continuous-25296-both_sexes--irnt
X33.2 Intravenous blood transfusion of packed cells,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,561,394280,0.0490806906101278,0.402370474193893,,,categorical-41210-both_sexes-X332-
FFMIadjBMI custom,FFMIadjBMI_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387569,,0.0494448905577171,-0.00874255979957405,,,continuous-FFMIadjBMI_custom-both_sexes--custom
Weighted-mean MD in tract superior longitudinal fasciculus (left),25536,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.0494581233692825,0.0688983582088206,,,continuous-25536-both_sexes--irnt
Mean L2 in fornix cres+stria terminalis on FA skeleton (right),25286,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.0496383948151435,0.0615249816199487,,,continuous-25286-both_sexes--irnt
T87.8 Other specified excision or biopsy of lymph node,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,184,394657,0.0497648968541012,-0.685852143570276,,,categorical-41200-both_sexes-T878-
M07 Psoriatic and enteropathic arthropathies,131852,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,837,394004,0.0498316605631422,0.32540438621145,,,icd_first_occurrence-131852-both_sexes--
Weighted-mean L1 in tract medial lemniscus (left),25586,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.0499601187199313,0.0693873258033564,,,continuous-25586-both_sexes--irnt
Weighted-mean MO in tract uncinate fasciculus (left),25567,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.050292789807068,0.0704099105442241,,,continuous-25567-both_sexes--irnt
FH Prostate cancer custom,FH_Prostate_cancer_custom,categorical,,,,31997,328918,0.0505021951329631,-0.0460608032298498,,,categorical-FH_Prostate_cancer_custom-both_sexes--custom
Y66.8 Other specified harvest of bone,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,345,394496,0.0506417592079605,0.501890449892009,,,categorical-41210-both_sexes-Y668-
Omeprazole,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,23244,371539,0.0507203320625419,0.0626660667388607,,,categorical-20003-both_sexes-1140865634-
Mean L3 in medial lemniscus on FA skeleton (left),25305,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.050996291808694,0.0677237086002835,,,continuous-25305-both_sexes--irnt
H46.3 Intubation of rectum for pressure manometry,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,690,394151,0.0515150388538707,-0.352616000546503,,,categorical-41200-both_sexes-H463-
K92 Other diseases of digestive system,131692,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,12999,381842,0.051686102288032,0.0824677229311623,,,icd_first_occurrence-131692-both_sexes--
F32.4 Operations on uvula NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,160,394681,0.0519078382055773,-0.705112246495868,,,categorical-41200-both_sexes-F324-
X72.9 Unspecified delivery of chemotherapy for neoplasm,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,549,394292,0.0522919307828119,-0.445950179042203,,,categorical-41200-both_sexes-X729-
diastolic blood pressure custom,diastolic_blood_pressure_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Blood pressure,,389975,,0.0524666428724248,0.0142612055305311,,,continuous-diastolic_blood_pressure_custom-both_sexes--custom
Weighted-mean MD in tract posterior thalamic radiation (left),25534,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.052910085006767,0.0641662954895342,,,continuous-25534-both_sexes--irnt
W14.1 Angulation diaphyseal osteotomy and internal fixation HFQ,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,185,213428,0.0532939830882826,-0.643611344365902,,,categorical-41200-both_sexes-W141-
Chest pain or discomfort,2335,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Chest pain,,61674,329192,0.0533763844193921,0.0391140526314716,,,categorical-2335-both_sexes--
E17.8 Other specified operations on unspecified nasal sinus,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,320,394521,0.0535116526411301,0.519329394001341,,,categorical-41200-both_sexes-E178-
Vitamin C,100015,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.0537548993795901,-0.0368090031804613,,,continuous-100015-both_sexes--irnt
M72 Fibroblastic disorders,131950,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,19073,375768,0.0537604351737423,-0.0669380343290823,,,icd_first_occurrence-131950-both_sexes--
C79.4 Injection into vitreous body NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,522,394319,0.0538936985612933,-0.406725062924154,,,categorical-41200-both_sexes-C794-
Rosuvastatin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,2443,392340,0.0540449776809858,0.181906681141423,,,categorical-20003-both_sexes-1141192410-
Age when last used oral contraceptive pill,2804,continuous,,UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,,153886,,0.0543216226565233,-0.0230156772357246,,,continuous-2804-both_sexes--irnt
Exposure to tobacco smoke at home,1269,continuous,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,,357240,,0.0546135299440658,0.00590319501352394,,,continuous-1269-both_sexes--
Crestor 10mg tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,250,394533,0.0546207912983618,0.577440791734594,,,categorical-20003-both_sexes-1141192414-
Indometacin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,271,394512,0.0548833659738405,-0.55397281219448,,,categorical-20003-both_sexes-1140909936-
"K09 Cysts of oral region, not elsewhere classified",131570,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,664,394177,0.0550970206787974,-0.35196913212466,,,icd_first_occurrence-131570-both_sexes--
Recent changes in speed/amount of moving or speaking,20518,continuous,,Online follow-up > Mental health > Depression,,128078,,0.0551049094951126,0.00872259185488061,,,continuous-20518-both_sexes--
Splenectomy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,831,393952,0.0552041739105475,0.311774818068119,,,categorical-20004-both_sexes-1453-
Mean MD in posterior corona radiata on FA skeleton (left),25131,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.0556118626957962,0.0656374442770759,,,continuous-25131-both_sexes--irnt
Carpal tunnel surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,4145,390638,0.0558060259166998,0.137044542696857,,,categorical-20004-both_sexes-1501-
X33.9 Unspecified other blood transfusion,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1916,392925,0.055843579420452,0.209926001806255,,,categorical-41200-both_sexes-X339-
Ever suffered mental distress preventing usual activities,20500,categorical,,Online follow-up > Mental health > Mental distress,,42172,84460,0.0559492067675049,0.0568502193281168,,,categorical-20500-both_sexes--
Mean ISOVF in superior cerebellar peduncle on FA skeleton (left),25453,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.0561025338301168,0.0667168179101063,,,continuous-25453-both_sexes--irnt
Y06.8 Other specified excision of lesion of organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,549,394292,0.0562709808944694,-0.382832977650823,,,categorical-41210-both_sexes-Y068-
Psoriatic arthropathy,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,760,394023,0.0566965893272285,0.325969763493207,,,categorical-20002-both_sexes-1477-
Y08.8 Other specified laser therapy to organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,541,394300,0.056904083625337,-0.388755098935042,,,categorical-41210-both_sexes-Y088-
M47.9 Unspecified urethral catheterisation of bladder,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2224,392617,0.0570014194336278,0.192687270620328,,,categorical-41200-both_sexes-M479-
Reversal of vasectomy / vasectomy reversal,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,177,181018,0.0570037285311522,0.665051765623707,,,categorical-20004-both_sexes-1589-
Englyst dietary fibre,100009,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.0570220279203934,-0.0361232596590165,,,continuous-100009-both_sexes--irnt
Schizophrenia,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,424,394359,0.0574894145256914,-0.438009870848787,,,categorical-20002-both_sexes-1289-
Weighted-mean OD in tract inferior longitudinal fasciculus (left),25691,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16495,,0.0577235843935479,-0.0683488755652034,,,continuous-25691-both_sexes--irnt
I98 Other disorders of circulatory system in diseases classified elsewhere,131420,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,314,394527,0.0577476002753494,0.513370611022099,,,icd_first_occurrence-131420-both_sexes--
B34 Viral infection of unspecified site,130224,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,8881,385960,0.0582339567725312,0.0981829887376229,,,icd_first_occurrence-130224-both_sexes--
Oestradiol,30800,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,59620,,0.0582453376361995,-0.0312991380959465,,,continuous-30800-both_sexes--irnt
L94 Other localised connective tissue disorders,131830,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,458,394383,0.0584161492686169,0.423890743483554,,,icd_first_occurrence-131830-both_sexes--
Bipolar disorder custom,Bipolar_disorder_custom,categorical,,,,2880,391961,0.0585802751800825,-0.165804818051371,,,categorical-Bipolar_disorder_custom-both_sexes--custom
W40.3 Revision of total prosthetic replacement of knee joint using cement,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,302,394539,0.0586621305980178,0.514323987034543,,,categorical-41200-both_sexes-W403-
Recent feelings of tiredness or low energy,20519,continuous,,Online follow-up > Mental health > Depression,,128044,,0.0589567965240501,0.0196515716301484,,,continuous-20519-both_sexes--
R21.5 Low forceps cephalic delivery,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,367,213246,0.0589947200318395,-0.474507436756382,,,categorical-41200-both_sexes-R215-
Folic acid product,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,3311,391472,0.0590597084545589,0.156730206502116,,,categorical-20003-both_sexes-1140870422-
A54 Gonococcal infection,130092,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,203,394638,0.0592155332243089,-0.643603945032275,,,icd_first_occurrence-130092-both_sexes--
Z28.6 Sigmoid colon,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,15915,378926,0.0592605952813033,-0.0722482941137598,,,categorical-41210-both_sexes-Z286-
Y76.2 Functional endoscopic nasal surgery,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,377,394464,0.059299277450505,-0.470645164946508,,,categorical-41210-both_sexes-Y762-
M70.3 Rectal needle biopsy of prostate,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5556,175672,0.0594533426840317,-0.119557062951326,,,categorical-41200-both_sexes-M703-
Bezafibrate,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,356,394427,0.0595677721947137,0.468512017162188,,,categorical-20003-both_sexes-1140861924-
Diverticular disease/diverticulitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,4456,390327,0.0596711003023672,-0.134452942284715,,,categorical-20002-both_sexes-1458-
Z67.5 Lumbar intervertebral joint,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2616,392225,0.0600935705423457,0.173866058735723,,,categorical-41210-both_sexes-Z675-
M02.5 Nephrectomy NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,494,394347,0.060316380762392,-0.401836445818617,,,categorical-41200-both_sexes-M025-
Volume of caudate (right),25014,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST),,18180,,0.0603604430044947,0.0614900527932482,,,continuous-25014-both_sexes--irnt
Mean L2 in posterior thalamic radiation on FA skeleton (right),25276,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.0605375405286265,0.0647823476693788,,,continuous-25276-both_sexes--irnt
Gastro-oesophageal reflux (gord) / gastric reflux,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,16981,377802,0.0607355154975589,-0.069859857344696,,,categorical-20002-both_sexes-1138-
Cardiac index during PWA,12702,continuous,,UK Biobank Assessment Centre > Imaging > Heart MRI > Pulse wave analysis,,19795,,0.0609156381489244,0.0532010673995744,,,continuous-12702-both_sexes--irnt
E14.2 Intranasal ethmoidectomy,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,940,393901,0.0609375070027986,0.292455170790634,,,categorical-41210-both_sexes-E142-
G80.2 Wireless capsule endoscopy,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,462,394379,0.0609413402545871,0.407847222850848,,,categorical-41200-both_sexes-G802-
Mean L2 in medial lemniscus on FA skeleton (right),25256,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.0610485551955885,0.0656639152844375,,,continuous-25256-both_sexes--irnt
J37.3 Direct puncture operative cholangiography,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,634,394207,0.0618042744233255,0.368378417113737,,,categorical-41210-both_sexes-J373-
Levothyroxine sodium,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,16162,378621,0.0618528193425121,0.0684387515661211,,,categorical-20003-both_sexes-1141191044-
K75.2 Percutaneous transluminal balloon angioplasty and insertion of 3 or more drug-eluting stents into coronary artery,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,742,394099,0.0619621453921259,0.326151411737348,,,categorical-41200-both_sexes-K752-
Systolic brachial blood pressure during PWA,12674,continuous,,UK Biobank Assessment Centre > Imaging > Heart MRI > Pulse wave analysis,,20338,,0.0621206376035324,0.0576595078885885,,,continuous-12674-both_sexes--irnt
Had menopause,2724,categorical,,UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,,131351,47938,0.0621487213247264,0.0894659350377014,,,categorical-2724-both_sexes--
isoleucine,isoleucine,continuous,,Biological samples > Assay results > Blood assays > Biological samples > NMR metabolomics,,94995,,0.0623298814496847,-0.0277758705088242,,,continuous-isoleucine-both_sexes--custom
E80 Disorders of porphyrin and bilirubin metabolism,130818,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,1248,393593,0.0624135454033779,0.243126368103542,,,icd_first_occurrence-130818-both_sexes--
Position of the shoulder on the pulse waveform,4200,continuous,,UK Biobank Assessment Centre > Physical measures > Arterial stiffness,,129986,,0.0624353255565735,0.0230003528494948,,,continuous-4200-both_sexes--irnt
Weighted-mean ISOVF in tract posterior thalamic radiation (left),25723,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16495,,0.0624695565687987,0.0642264103396226,,,continuous-25723-both_sexes--irnt
Mean L3 in retrolenticular part of internal capsule on FA skeleton (left),25317,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.0624839100931705,0.0662855829062083,,,continuous-25317-both_sexes--irnt
Q14 Congenital malformations of posterior segment of eye,132456,icd_first_occurrence,,Health-related outcomes > First occurrences > Congenital disruptions and chromosomal abnormalities,,215,394626,0.062609281574345,0.604482598845463,,,icd_first_occurrence-132456-both_sexes--
Mean L1 in fornix cres+stria terminalis on FA skeleton (left),25239,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.062899157192986,0.0661644805276384,,,continuous-25239-both_sexes--irnt
Z91.1 Cephalic vein,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,150,394691,0.0629355526193383,0.723946176789495,,,categorical-41210-both_sexes-Z911-
Mean L3 in posterior corona radiata on FA skeleton (left),25323,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.0630111098179214,0.0633207477558087,,,continuous-25323-both_sexes--irnt
