Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
Volume of grey matter in Precentral Gyrus (right),25795,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.196321304568369,-0.0664674888614482,,,continuous-25795-both_sexes--irnt
L65 Other nonscarring hair loss,131782,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,2350,392491,0.197092768333978,-0.206391815107875,,,icd_first_occurrence-131782-both_sexes--
Mean FA in inferior cerebellar peduncle on FA skeleton (right),25066,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.197129187311801,0.0746951346118317,,,continuous-25066-both_sexes--irnt
Carbocisteine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,202,394581,0.197497691423908,-0.70808908115783,,,categorical-20003-both_sexes-1140862944-
L84.1 Combined operations on primary long saphenous vein,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1156,393685,0.197525418069687,0.301034146140884,,,categorical-41200-both_sexes-L841-
Pneumonia,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,5637,389146,0.197975280529019,0.134494949050553,,,categorical-20002-both_sexes-1398-
urinary tract infection custom,urinary_tract_infection_custom,categorical,,Health-related outcomes > Cardiac/Metabolism,,8338,205275,0.198385372753921,0.109658574047595,,,categorical-urinary_tract_infection_custom-females--custom
F32.1 Biopsy of lesion of palate,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,202,394639,0.198514054789091,-0.706882883763916,,,categorical-41200-both_sexes-F321-
J38.1 Endoscopic sphincterotomy of sphincter of Oddi and removal of calculus HFQ,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1138,393703,0.198528839107443,-0.30043750382928,,,categorical-41200-both_sexes-J381-
Z45.1 Cervix uteri,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,360,213253,0.19876276947377,-0.520270352641168,,,categorical-41210-both_sexes-Z451-
SHBG,30830,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,341779,,0.198873200099635,0.0146450458633418,,,continuous-30830-both_sexes--irnt
WCadjBMI female custom,WCadjBMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,212925,,0.199027149463643,-0.0235618875646658,,,continuous-WCadjBMI_female_custom-females--custom
"Volume of grey matter in Parahippocampal Gyrus, anterior division (right)",25849,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.199210476770822,0.0648759639847203,,,continuous-25849-both_sexes--irnt
ProstateCancer custom,ProstateCancer_custom,categorical,,Health-related outcomes > Cancer,,10367,138056,0.199329666646487,-0.0994090455825264,,,categorical-ProstateCancer_custom-males--custom
Mean ICVF in superior corona radiata on FA skeleton (right),25368,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.199713528499376,0.07444406135925,,,continuous-25368-both_sexes--irnt
Mean MD in posterior thalamic radiation on FA skeleton (left),25133,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.20004869768019,-0.0728424644840188,,,continuous-25133-both_sexes--irnt
Vascular/heart problems diagnosed by doctor,6150,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,,106486,287509,0.200090401591528,-0.0331206905290497,,,categorical-6150-both_sexes-4-
Hydrocortisone,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,711,394072,0.200131846210316,-0.382903803477809,,,categorical-20003-both_sexes-1140874896-
E04.2 Excision of turbinate of nose NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,774,394067,0.200410867370888,-0.362852491648627,,,categorical-41210-both_sexes-E042-
Mean L2 in superior cerebellar peduncle on FA skeleton (left),25261,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.200568868836024,-0.0753017395634103,,,continuous-25261-both_sexes--irnt
U21.1 Magnetic resonance imaging NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1290,393551,0.2007291299451,0.280645132056472,,,categorical-41200-both_sexes-U211-
Volume of accumbens (left),25023,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST),,18180,,0.201244708057132,0.0665367962662448,,,continuous-25023-both_sexes--irnt
C18.9 Unspecified correction of ptosis of eyelid,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,175,394666,0.201286572345537,0.758646149043079,,,categorical-41200-both_sexes-C189-
Z08 Follow-up examination after treatment for malignant neoplasm,Z08,icd10,,Chapter XXI Factors influencing health status and contact with health services | Z00-Z13 Persons encountering health services for examination and investigation | Z08 Follow-up examination after treatment for malignant neoplasm,,4901,389940,0.201290049819098,-0.143534297060786,,,icd10-Z08-both_sexes--
Q43.2 Excision of lesion of ovary,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,170,213443,0.201328984603018,0.760660442606156,,,categorical-41210-both_sexes-Q432-
I15 Secondary hypertension,131294,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,180,394661,0.201629142266321,0.75954820131756,,,icd_first_occurrence-131294-both_sexes--
"Medication for pain relief, constipation, heartburn",6154,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,,7508,383175,0.202033679040309,0.117373023337283,,,categorical-6154-both_sexes-4-
Plavix 75mg tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,175,394608,0.202043718093923,0.759050880606192,,,categorical-20003-both_sexes-1141168322-
E14.8 Other specified operations on frontal sinus,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,200,394641,0.202160168839439,-0.70459498752606,,,categorical-41210-both_sexes-E148-
B12 - hydroxocobalamin prep,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,302,394481,0.202270061587744,-0.586842521585746,,,categorical-20003-both_sexes-1140910494-
L94 Other localised connective tissue disorders,131830,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,458,394383,0.202949881375803,-0.467743817448668,,,icd_first_occurrence-131830-both_sexes--
C16 Malignant neoplasm of stomach,C16,icd10,,Chapter II Neoplasms | C15-C26 Malignant neoplasms of digestive organs | C16 Malignant neoplasm of stomach,,542,394299,0.203654107971691,-0.432518260951968,,,icd10-C16-both_sexes--
Z86.6 Interphalangeal joint of toe,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1246,393595,0.204001841814995,-0.280010229440224,,,categorical-41210-both_sexes-Z866-
"L02 Cutaneous abscess, furuncle and carbuncle",131700,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,9152,385689,0.204062462426581,0.104524249723962,,,icd_first_occurrence-131700-both_sexes--
N02 Recurrent and persistent haematuria,132002,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,1059,393782,0.204337570469427,-0.30647354487557,,,icd_first_occurrence-132002-both_sexes--
Median T2star in pallidum (left),25032,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,16739,,0.204428203740314,-0.0747516375374266,,,continuous-25032-both_sexes--irnt
Maximum carotid IMT (intima-medial thickness) at 120 degrees ,22672,continuous,,UK Biobank Assessment Centre > Physical measures > Carotid ultrasound,,21819,,0.204710258293173,0.0590982802670119,,,continuous-22672-both_sexes--irnt
Weighted-mean MD in tract posterior thalamic radiation (left),25534,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.204927661345993,-0.069205804681217,,,continuous-25534-both_sexes--irnt
X70.2 Procurement of drugs for chemotherapy for neoplasm for regimens in Band 2,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,354,394487,0.205401978677939,-0.51540903794631,,,categorical-41210-both_sexes-X702-
Weighted-mean ICVF in tract anterior thalamic radiation (right),25653,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16495,,0.205578829082367,0.071416496585045,,,continuous-25653-both_sexes--irnt
Weighted-mean L3 in tract inferior longitudinal fasciculus (left),25637,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.205879323247475,-0.0724991402185873,,,continuous-25637-both_sexes--irnt
T42.3 Endoscopic division of adhesions of peritoneum,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,459,394382,0.206267891005784,0.462869013086588,,,categorical-41200-both_sexes-T423-
M65.1 Endoscopic resection of prostate using electrotome,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1198,180030,0.206643509712274,-0.2867112099833,,,categorical-41200-both_sexes-M651-
Mean MD in superior cerebellar peduncle on FA skeleton (left),25117,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.206875718420837,-0.0722903030790756,,,continuous-25117-both_sexes--irnt
Mental health problems ever diagnosed by a professional,20544,categorical,,Online follow-up > Mental health > Mental distress,,1584,126349,0.206905377279544,-0.246740261328957,,,categorical-20544-both_sexes-1-
"Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (left)",25792,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.206939834261772,-0.066434835604946,,,continuous-25792-both_sexes--irnt
Spinal fusion,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,540,394243,0.207144544570248,0.413982342118562,,,categorical-20004-both_sexes-1590-
Weighted-mean L2 in tract corticospinal tract (right),25605,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.20728138490326,-0.0750492374737915,,,continuous-25605-both_sexes--irnt
Laparotomy nos,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2194,392589,0.207438495639106,0.209363098345301,,,categorical-20004-both_sexes-1486-
I73 Other peripheral vascular diseases,131386,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,8311,386530,0.20751943216174,-0.108714435567997,,,icd_first_occurrence-131386-both_sexes--
Q74 Other congenital malformations of limb(s),132558,icd_first_occurrence,,Health-related outcomes > First occurrences > Congenital disruptions and chromosomal abnormalities,,180,394661,0.207622538902829,0.745528284883201,,,icd_first_occurrence-132558-both_sexes--
H33.4 Anterior resection of rectum and anastomosis NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,531,394310,0.207681256612688,-0.429935200123172,,,categorical-41200-both_sexes-H334-
Mean L2 in uncinate fasciculus on FA skeleton (right),25292,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.207715356834878,-0.0742800574814469,,,continuous-25292-both_sexes--irnt
Allergy to house dust mite,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,213,394570,0.208403392590285,0.664558444744519,,,categorical-20002-both_sexes-1668-
Z75.7 Coccyx,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,224,394617,0.208455614475266,0.663040426336767,,,categorical-41210-both_sexes-Z757-
Laser treatment cervix,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,653,212935,0.208486827722652,-0.378280699779855,,,categorical-20004-both_sexes-1542-
U05.5 Magnetic resonance imaging of spine,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,673,394168,0.208546335697817,-0.378609177158591,,,categorical-41200-both_sexes-U055-
W83.3 Endoscopic shaving of articular cartilage,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,967,393874,0.20860737629121,0.314743126002054,,,categorical-41200-both_sexes-W833-
Y82.3 Application of local anaesthetic NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5545,389296,0.208900648406404,0.132377505633177,,,categorical-41210-both_sexes-Y823-
B28.7 Wire guided excision of lesion of breast,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,277,213336,0.209376690033142,-0.581791670879208,,,categorical-41200-both_sexes-B287-
Z92.5 Back NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,320,394521,0.209455151814601,0.554684653817712,,,categorical-41210-both_sexes-Z925-
C88 Malignant immunoproliferative diseases,C88,icd10,,"Chapter II Neoplasms | C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue | C88 Malignant immunoproliferative diseases",,93,394748,0.20952200382673,-1.01036827186825,,,icd10-C88-both_sexes--
Cipralex 5mg tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,360,394423,0.209635718050778,0.51607411821337,,,categorical-20003-both_sexes-1141190158-
alcoholic cirrhosis custom,alcoholic_cirrhosis_custom,categorical,,Health-related outcomes > Hepatobiliary,,770,385587,0.21008573367989,-0.35723694236335,,,categorical-alcoholic_cirrhosis_custom-both_sexes--custom
A61.1 Excision of lesion of peripheral nerve,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,190,394651,0.210287962630494,-0.699073906818632,,,categorical-41210-both_sexes-A611-
Mean L2 in body of corpus callosum on FA skeleton,25251,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.210457465429412,-0.0718417347088699,,,continuous-25251-both_sexes--irnt
Volume of grey matter in Precuneous Cortex (right),25843,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.210565088392187,0.064663626404429,,,continuous-25843-both_sexes--irnt
B07 Viral warts,130188,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,14153,380688,0.21079207058887,0.0829654820161757,,,icd_first_occurrence-130188-both_sexes--
Q22.1 Bilateral salpingoophorectomy,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1296,212317,0.211136706503206,0.272506286606964,,,categorical-41200-both_sexes-Q221-
Mean L2 in superior cerebellar peduncle on FA skeleton (right),25260,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.211408927947229,-0.074555820863532,,,continuous-25260-both_sexes--irnt
K60.3 Renewal of intravenous cardiac pacemaker system,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,555,394286,0.211468570603374,0.415654300348767,,,categorical-41200-both_sexes-K603-
G41 Status epilepticus,131050,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,205,394636,0.211672732066885,-0.698329353441947,,,icd_first_occurrence-131050-both_sexes--
Minimum carotid IMT (intima-medial thickness) at 240 degrees ,22679,continuous,,UK Biobank Assessment Centre > Physical measures > Carotid ultrasound,,21664,,0.212145309452742,0.0582519373575258,,,continuous-22679-both_sexes--irnt
WHR custom,WHR_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,394086,,0.212158451981243,-0.0115390496452606,,,continuous-WHR_custom-both_sexes--custom
Volume of grey matter in Cuneal Cortex (right),25845,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.212382008891602,0.0659225990738491,,,continuous-25845-both_sexes--irnt
Mean ISOVF in superior corona radiata on FA skeleton (left),25465,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.212587324967852,0.0708525832746294,,,continuous-25465-both_sexes--irnt
H52.4 Rubber band ligation of haemorrhoid,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,3707,391134,0.212745044582475,0.161237493424232,,,categorical-41200-both_sexes-H524-
Liver/biliary/pancreas problem,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,676,394107,0.212804711801106,-0.375787458827752,,,categorical-20002-both_sexes-1136-
Mean L3 in cerebral peduncle on FA skeleton (right),25310,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.213156058669737,-0.0715877958601133,,,continuous-25310-both_sexes--irnt
Mean L2 in posterior thalamic radiation on FA skeleton (left),25277,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.213185917097668,-0.0706041675397776,,,continuous-25277-both_sexes--irnt
Fat,100004,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.213693083100644,0.0384565608316174,,,continuous-100004-both_sexes--irnt
"N92 Excessive, frequent and irregular menstruation",132146,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,22830,190783,0.214236946582282,0.0639012124742182,,,icd_first_occurrence-132146-both_sexes--
Subarachnoid haemorrhage,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,366,394417,0.21428720387354,0.510173287787414,,,categorical-20002-both_sexes-1086-
Brain cancer / primary malignant brain tumour,20001,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,181,394602,0.214313392480706,0.731306011569682,,,categorical-20001-both_sexes-1032-
Weighted-mean L2 in tract middle cerebellar peduncle,25612,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.214350650661715,-0.069502724256049,,,continuous-25612-both_sexes--irnt
"ECG, load",5984,continuous,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,59062,,0.214558748976992,0.0290917854705746,,,continuous-5984-both_sexes--irnt
Y11.3 Curettage of organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,360,394481,0.214564429939776,0.509022484129718,,,categorical-41210-both_sexes-Y113-
Leg fat-free mass (right),23113,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,387932,,0.214578570440464,-0.00962131543015042,,,continuous-23113-both_sexes--irnt
L99.7 Percutaneous transluminal peripheral insertion of central catheter,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,910,393931,0.214585562960481,0.319976156574332,,,categorical-41200-both_sexes-L997-
H23.6 Endoscopic resection of lesion of lower bowel using fibreoptic sigmoidoscope NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,659,394182,0.214810761610586,0.376948869795342,,,categorical-41200-both_sexes-H236-
Mean L3 in fornix on FA skeleton,25301,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.214818963914486,-0.0627905189623308,,,continuous-25301-both_sexes--irnt
Psoriasis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,4523,390260,0.214892949832844,-0.13838709566569,,,categorical-20002-both_sexes-1453-
"Volume of grey matter in Lateral Occipital Cortex, superior division (right)",25825,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.215107711779287,0.0651896738498123,,,continuous-25825-both_sexes--irnt
"Forced expiratory volume in 1-second (FEV1), predicted percentage",20154,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,127146,,0.215161572316881,0.028517155760652,,,continuous-20154-both_sexes--irnt
M35 Other systemic involvement of connective tissue,131900,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,3885,390956,0.215300048422098,-0.155284104839168,,,icd_first_occurrence-131900-both_sexes--
X40.3 Haemodialysis NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,291,394550,0.215372728492731,-0.57679196215212,,,categorical-41200-both_sexes-X403-
U29.3 Glucose tolerance test,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,289,394552,0.21574344332235,-0.57567065017231,,,categorical-41200-both_sexes-U293-
Weighted-mean L3 in tract corticospinal tract (left),25631,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.216250926661525,-0.0727789069496554,,,continuous-25631-both_sexes--irnt
D62 Acute posthaemorrhagic anaemia,130644,icd_first_occurrence,,"Health-related outcomes > First occurrences > Blood, blood-forming organs and certain immune disorders",,289,394552,0.216343676269451,-0.575742319739591,,,icd_first_occurrence-130644-both_sexes--
insomnia 1200 binary,insomnia_1200_binary,categorical,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep,,112855,281510,0.216389903766718,0.0282509067497683,,,categorical-insomnia_1200_binary-both_sexes--custom
Nervous breakdown,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,594,394189,0.216480505418801,-0.395830214432267,,,categorical-20002-both_sexes-1288-
G19.9 Unspecified diagnostic endoscopic examination of oesophagus using rigid oesophagoscope,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,918,393923,0.21692711743552,-0.322598274482017,,,categorical-41210-both_sexes-G199-
Cardiac ablation,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,258,394525,0.216980581515516,0.589593552911634,,,categorical-20004-both_sexes-1553-
Z72.4 Carpal bone,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1026,393815,0.217546852433483,-0.300211033516062,,,categorical-41210-both_sexes-Z724-
K65.3 Catheterisation of left side of heart NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,197,394644,0.217746596669085,-0.693590503560101,,,categorical-41200-both_sexes-K653-
W90.4 Injection into joint NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,439,394402,0.218042556219823,-0.457767166532774,,,categorical-41200-both_sexes-W904-
I63 Cerebral infarction,131366,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,4602,390239,0.218127093365753,0.143911934699266,,,icd_first_occurrence-131366-both_sexes--
Y36.2 Introduction of therapeutic implant into organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,262,394579,0.218133359660374,0.587567344043791,,,categorical-41210-both_sexes-Y362-
Uterine surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,1662,211926,0.218190379113415,-0.237878992581129,,,categorical-20004-both_sexes-1508-
Potassium,100016,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.218373982081469,0.0380956698177423,,,continuous-100016-both_sexes--irnt
M65 Synovitis and tenosynovitis,131938,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,14252,380589,0.218402077755249,0.0813774626381916,,,icd_first_occurrence-131938-both_sexes--
BMI female custom,BMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,212969,,0.218544933990427,-0.0227621547904609,,,continuous-BMI_female_custom-females--custom
X38.6 Subcutaneous injection for local action NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,291,394550,0.218634844591068,-0.574485027066284,,,categorical-41200-both_sexes-X386-
Mean MD in medial lemniscus on FA skeleton (left),25113,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.218840583657709,-0.0715133796586246,,,continuous-25113-both_sexes--irnt
B37 Candidiasis,130230,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,7598,387243,0.218999354440656,0.112000637325243,,,icd_first_occurrence-130230-both_sexes--
Fosamax 5mg tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,459,394324,0.219272925312859,0.4475891829936,,,categorical-20003-both_sexes-1141176570-
"J11 Influenza, virus not identified",131442,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,8440,386401,0.219402265546384,-0.105422684591321,,,icd_first_occurrence-131442-both_sexes--
Weighted-mean L2 in tract posterior thalamic radiation (right),25616,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.219657775368926,-0.0679340082019559,,,continuous-25616-both_sexes--irnt
Endoscopy / gastroscopy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,7933,386850,0.220087237004246,-0.111981092186021,,,categorical-20004-both_sexes-1517-
Perindopril,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,5626,389157,0.220096367916997,0.129377788322061,,,categorical-20003-both_sexes-1140888560-
K45.3 Anastomosis of mammary artery to left anterior descending coronary artery,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,430,394411,0.220366734335012,0.471676445610733,,,categorical-41210-both_sexes-K453-
X71.2 Procurement of drugs for chemotherapy for neoplasm for regimens in Band 7,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,816,394025,0.22082291309367,-0.336094559442409,,,categorical-41200-both_sexes-X712-
"Q44 Congenital malformations of gallbladder, bile ducts and liver",132512,icd_first_occurrence,,Health-related outcomes > First occurrences > Congenital disruptions and chromosomal abnormalities,,189,394652,0.221055208080531,-0.69125170297085,,,icd_first_occurrence-132512-both_sexes--
S27.9 Unspecified other local flap of skin,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,199,394642,0.221169448267921,-0.689864768857873,,,categorical-41210-both_sexes-S279-
X72.1 Delivery of complex chemotherapy for neoplasm including prolonged infusional treatment at first attendance,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,3360,391481,0.221672577316887,0.163686763175531,,,categorical-41210-both_sexes-X721-
Mean reticulocyte volume,30260,continuous,,Biological samples > Assay results > Blood assays > Blood count,,377154,,0.221796507029859,-0.0148797404014443,,,continuous-30260-both_sexes--irnt
Weighted-mean OD in tract parahippocampal part of cingulum (right),25684,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16495,,0.221926278676642,0.0699193985402659,,,continuous-25684-both_sexes--irnt
Y58.9 Unspecified harvest of skin for graft,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,438,394403,0.222056992531831,-0.454553277774689,,,categorical-41210-both_sexes-Y589-
"Q50 Congenital malformations of ovaries, fallopian tubes and broad ligaments",132516,icd_first_occurrence,,Health-related outcomes > First occurrences > Congenital disruptions and chromosomal abnormalities,,226,213387,0.222237647034168,0.640118463301835,,,icd_first_occurrence-132516-both_sexes--
Sulphasalazine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,199,394584,0.22236977069051,-0.690042301981487,,,categorical-20003-both_sexes-1140865668-
Mean L1 in uncinate fasciculus on FA skeleton (left),25245,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.222431173834681,-0.0699889153022912,,,continuous-25245-both_sexes--irnt
Central pulse pressure during PWA,12678,continuous,,UK Biobank Assessment Centre > Imaging > Heart MRI > Pulse wave analysis,,20334,,0.22245511820681,0.0620265279060624,,,continuous-12678-both_sexes--irnt
Weighted-mean FA in tract inferior longitudinal fasciculus (right),25503,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.222462885825547,0.0717220380291257,,,continuous-25503-both_sexes--irnt
Mitral valve repair/replacement,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,363,394420,0.22249113474408,0.499211644989764,,,categorical-20004-both_sexes-1100-
